"id","gene_symbol","gene_id","species_name","pubmed","description","entrez_id","gene_name","function","ensembl","alias"
88,"ckr-1","T23B3.4","Caenorhabditis elegans","19783783","ckr-1 RNAi significantly reduces lifespan of |eat-2| but not that of |age-1| nor |clk-1| mutants [2574].",188774,"CholecystoKinin Receptor homolog 1","Protein CKR-1; CholecystoKinin Receptor homolog family member (ckr-1)  [Source:RefSeq peptide;Acc:NP_491918] [Ensembl];  T23B3.4 encodes a seven transmembrane receptor that is most closely related to the mammalian cholecystokinin receptors; loss of T23B3.4 activity via RNAi, either singly or in combination with another cholecystokinin receptor-encoding gene, Y39A3B.5, has no effect on fat metabolism, however large-scale RNAi screens have reported that T23B3.4(RNAi) results in embryonic lethality and reduced brood sizes; a T23B3.4::GFP reporter is expressed in a subset of nerve ring neurons.  [WormBase]","T23B3.4",""
89,"ckr-2","Y39A3B.5","Caenorhabditis elegans","19783783","ckr-2 RNAi significantly reduces the lifespan of |eat-2| but not that of |age-1| nor |clk-1| mutants [2574].",175341,"CholecystoKinin Receptor homolog 2","Protein CKR-2; CholecystoKinin Receptor homolog family member (ckr-2)  [Source:RefSeq peptide;Acc:NP_001022843] [Ensembl]","Y39A3B.5",""
90,"cbp-1","R10E11.1","Caenorhabditis elegans","19924292","Bacterial dilution DR induces cbp-1 expression. Overexpression of cbp-1 does not significantly affect lifespan. cbp-1 RNAi specifically in adults completely blocks lifespan extension by three distinct protocols of DR, partly by |daf-2| mutation but not of cold and blocks the delay of other age-related pathologies by bacterial dilution DR [2569].",176380,"CBP/p300 homolog 1","Protein CBP-1; Protein cbp-1  [Source:UniProtKB/Swiss-Prot;Acc:P34545] [Ensembl];  cbp-1 encodes a homolog of the mammalian transcriptional cofactors CBP (OMIM:600140) and p300 (E1A-BINDING PROTEIN, 300-KD; OMIM:602700) that have been shown to possess histone acetyltransferase activity, and which, when mutated, lead to Rubinstein-Taybi syndrome (OMIM:180849) and colorectal cancer (OMIM:114500); at least one splicing form of CBP-1 exhibits histone acetyltransferase (HAT) activity in vitro and has a glutamine/asparagine-rich domain; CBP-1 is required during embryogenesis for differentiation of all non-neuronal somatic cell types; CBP-1 is expressed very early in embryogenesis, suggesting that it may interact with maternally provided transcription factors, such as SKN-1, to specific developmental fates.   Two protein products of this gene are predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77). Proteins bearing such domains can sometimes stably exist in at least two distinct physical states, each associated with a different phenotype; propagation of one of these traits is achieved by a self-perpetuating change in the protein from one form to the other, mediated by conformational changes in the glutamine/asparagine-rich domain. Prion domains are both modular and transferable to other proteins, on which they can confer a heritable epigenetic alteration of function; existing bioinformatics data indicate that they are rare in non-eukarya, but common in eukarya. Therefore, it is possible that this gene's protein product undergoes epigenetic control of protein activity, through heritable epigenetic modulation of protein function by self-perpetuating conformational conversions of normal proteins in healthy cells. It is important to note that this is distinct from, though mechanistically analogous to, disease states associated with prion propagation and amyloidogenesis.  [WormBase]","R10E11.1",""
91,"dve-1","ZK1193.5","Caenorhabditis elegans","19924292","dve-1 RNAi attenuates lifespan extension by bacterial dilution DR, but only partially that of |daf-2| mutation. dve-1 RNAi attenuates protection against oxidative stress by bacterial dilution DR. dve-1 expression is not induced by DR [2569].  ",180398,"DVE (Defective proVEntriculus in Drosophila) homolog) 1","Protein DVE-1; DVE (Defective proVEntriculus in Drosophila) homolog family member (dve-1)  [Source:RefSeq peptide;Acc:NP_001024986] [Ensembl]","ZK1193.5",""
92,"eat-2","Y48B6A.4","Caenorhabditis elegans","9789046,19239417","eat-2 mutants have reduced neuronal signalling due to the loss of the eat-2 nicotinic acetylcholine receptor resulting in decreased pharyngeal pumping that induces a DR-like state by restricting feeding. They are considered a genetic model of DR and live significant longer by up to 57 % [1820]. Solid DR further increases the long lifespan of eat-2 mutants [2568].",175072,"EATing: abnormal pharyngeal pumping",NULL,"Y48B6A.4",""
96,"Rpd3","FBgn0015805","Drosophila melanogaster","12459580","Males heterozygous for hypomorphic or null mutation of Rpd3 have a lifespan extension of 33% and 41 - 47%, respectively. Females heterozygous for a hypomorphic allele have a 52% increase in lifespan, but females carrying a null mutation have only modest increase in maximum lifespan (but not median lifespan). Longevity increases to the same extent in wild-type under low-calorie diet and rpd3 mutants fed normal diet. DR fails to further increase lifespan of rpd3 mutants. DR leads to a moderate but significant down-regulation of Rpd3, analogous to decrease obtained in heterozygotes carrying rpd3 mutation. rpd3 mutants fed normal food and wild-type fed low-calorie increase |Sir2| expression two-fold [202].",38565,"Histone deacetylase Rpd3","Regulates transcription and silencing; Catalyzes the deacetylation of lysine residues on the N- terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation may constitute a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. For instance, deacetylation of histone H3 may be a prerequisite for the subsequent recruitment of the histone methyltransferase Su(var)3-9 to histones. Involved in position-effect variegation (PEV). [UniProt]","FBgn0015805","CG7471 dHDAC-1 dHDAC1 DHDAC1 Dmel\CG7471 dmHDA401 DmHDAC1 drpd3 dRpd3 dRPD3 DRpd3 E(var)3-64BC HDAC HDAC-1 hdac1 Hdac1 HDAC1 l(3)04556 l(3)64Cc rpd3 RPD3 Rpd3/HDAC rpd[3] Su(var)3-26 Su(var)326 Su(var)328"
97,"Or83b","FBgn0037324","Drosophila melanogaster","17272684","Loss-of-function mutation in Or83b results in olfactory defects, altered adult metabolism, enhanced stress resistance, and life-extension. Fully fed female homozygous Or83b null mutants exhibit a 56% increase in median lifespan and a 30% increase in maximum lifespan. Males are also significantly longer-lived, though to a smaller degree and maximum lifespan is not extended. Heterozygous mutants of both sexes show an intermediate longevity. Lifespan of homozygous Or83b null mutants is further increased by DR, but the relative increase in median and mean longevity is significantly greater when mutants were maintained in well-fed conditions [2337].",40650,"Odorant receptor 83b","Expression of Orco alone leads to formation of rapid and transient ion channels not directly responding to odorants, but directly activated by intracellular cAMP or cGMP. Complexes with conventional odorant receptors (ORs) to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. They are necessary and sufficient to promote functional reconstitution of odor-evoked signaling in sensory neurons that normally respond only to carbon dioxide. Orco is a universal and integral part of the functional odorant receptor, involved in the dendritic localization of other olfactory receptors. Snmp, Or67d and lush act in concert to capture fatty- acid-derived male pheromone 11-cis vaccenyl acetate (cVA) molecules on the surface of Or67d expressing olfactory dendrites and facilitate their transfer to the odorant-receptor Orco complex. [UniProt]","FBgn0037324","83A.2 83b A45 CG10609 Dmel\CG10609 DOR45 DOR83b OR49 or83b Or83b OR83b OR83B vainsA"
98,"chico","FBgn0024248","Drosophila melanogaster","11292874,11951037","Mutation in chico extends mean, median, and maximum lifespan by 56%, 48%, and 42% in homozygotes and 44%, 36%, and 35% in heterozygotes. chico mutation produces dwarf, long-lived females at normal nutrition. Male heterozygous live 13% longer than wild-type, but male homozygous have a shortened lifespan [188]. Wild-type and chico mutant females have similar peak lifespan under DR, but the food concentration at which these are achieved is shifted to higher amounts. chico mutation induces a state equivalent to submaximal, DR-induced slowing of aging [2576]. ",64880,"Insulin receptor substrate-1","Insulin receptor substrate; Activates phosphatidylinositol 3-kinase when bound to the regulatory p85 subunit (By similarity). May mediate the control of various cellular processes by insulin-like peptides. When phosphorylated by the insulin receptor binds specifically to various cellular proteins containing SH2 domains. Involved in control of cell proliferation, cell size, and body and organ growth throughout development. Also has a role in a signaling pathway controlling the physiological response required to endure periods of low nutrient conditions. Insulin/insulin-like growth factor (IGF) signaling pathway has a role in regulating aging and is necessary in the ovary for vitellogenic maturation. [UniProt]","FBgn0024248","anon-WO0078940.1 anon-WO0078940.4 BcDNA.GH11263 BcDNA:GH11263 CG5686 chic Chico CHICO dIRS Dmel\CG5686 fs(2)4 fs(2)ry4 IRS IRS/chico"
100,"gig","CG6975","Drosophila melanogaster","15186745","Overexpression of gig (alias dTsc2) increased mean lifespan by 20% at 25 degree and protected mutants from deleterious effects of rich food, as if mimicking the effect of DR. Lifespan extension was dependent on concentration of yeast extract in the diet with no or slight life extension observed at low concentrations [1317].
Additionally, overexpression of gig (Tsc2) in mated females flies, which results in the inactivation of TOR signaling, affects lifespan extension by methionine restriction. While at 1.0x diet (normal level of all amino-acids, 15% dietary yeast) methionine reduction (from 1mM to 0.2mM) shortened lifespan both for Tsc2 overexpressing and control flies, at a 0.4x diet (0.4x reduced levels of all amino acids, corresponding to 6% dietary yeast) methionine reduction resulted in a decreased lifespan but only for the Tsc2 overexpressing flies, suggesting in this case that methionine reduction and overexpressing Tsc2 share some common mechanisms [3474]. ",40201,"gigas","","FBgn0005198","6975 C1 CG6975 Dmel\CG6975 dTsc2 dTSC2 gig|Tsc2 l(3)109 ME 109 tsc2 Tsc2 TSC2 Tsc2/gig"
102,"Sir2","FBgn0024291","Drosophila melanogaster","15520384,23246004","Overexpression of Sir2 (alias dSir2) extends lifespan by up to 57% and specifically median lifespan by 40-60%, whereas a decrease in Sir2 activity by mutation blocks the life-extending effect of DR. Sir2 mutation does not reduce lifespan under ad libitum [1284]. Another study also found that whole-body Sir2 knockdown suppressed the life-extending effects of DR; moreover, Sir2 knockdown in the fat body resulted in suppression of life-extension under yeast-restricted conditions but normal lifespan under normal diet [2622].",34708,"Protein Sir2","NAD(+)-dependent histone deacetylase that silences gene expression; NAD-dependent histone deacetylase involved in heterochromatic silencing. Mildly suppresses the heterochromatin- mediated silencing phenomenon known as position-effect variegation (PEV). Required for epigenetic silencing of the polycomb group proteins. Has histone H4 deacetylase activity in vitro. Required maternally for establishing proper segmentation of the embryo. Involved in sex determination. May be involved in the regulation of life span. [UniProt]","FBgn0024291","BEST:LD38188 CG5216 D.mel1 Dmel\CG5216 dmSRT406 dsir2 dSir2 dSIR2 DSir2 l(2)05326 sir2 SIR2 Sir2L"
103,"Indy","FBgn0036816","Drosophila melanogaster","11118146,19470468","Flies heterozygotic for a disruption in Indy gene have extended mean (87-92%) and maximum (45%) lifespan. Homozygotes for the disruption show only a 10 - 20% increase in mean lifespan [2173]. Heterozygous insertion of a p-element in the non-coding region of Indy locus leads to a reduction in Indy mRNA expression and causes a significant median lifespan extension in male and female by about 29% and 34%, respectively. At normal or high calorie conditions Indy heterozygote mutants have a significant lifespan extension, but under low calorie conditions, Indy heterozygous mutants have minimal median lifespan extension. Indy mutation alters metabolism in a manner similar to DR and mutants have several phenotypes with long-lived DR files in common, including decreases insulin-like signalling, lipid storage, weight gain, and resistance to starvation, and an increase in spontaneous physical activity [2577].  ",40049,"I'm not dead yet","Cation-independent electroneutral transporter (not associated with membrane depolarization) of a variety of tricarboxylic and dicarboxylic acid-cycle intermediates. There is also small, but detectable, transport of monocarboxylics. Transport is through the epithelium of the gut and across the plasma membranes of organs involved in intermediary metabolism and storage. Affinity for substrates is citrate > succinate > pyruvate. Fumarate, a-ketoglutarate, and glutarate are also transported, but not lactate. Transport mechanism that is not coupled to Na(+), K(+), or Cl(-). Function is shown in Xenopus oocytes and human retinal pigment epithelial (HRPE) cell lines. [UniProt]","FBgn0036816","anon-EST:fe3A7 anon-WO0172774.70 BEST:LP01220 CG3979 Dmel\CG3979 drIndy indy INDY"
104,"foxo","FBgn0038197","Drosophila melanogaster","15175753,18241326","foxo overexpression extends lifespan. Activation of foxo in the adult pericerebral fat body is sufficient for lifespan extension. Limited activation of foxo reduces the expression of Drosophila insulin-like peptide dilp-2 synthesised in neurons and, represses endogenous insulin-dependent signalling in peripheral fat body [1091]. foxo is not required for DR, but its activity modulates the response. foxo null mutants are shorter-lived than wild-type on all food dilutions apart from 0.1 SY and under starvation. foxo overexpression in adult fat body under normal nutrition leads to extension of lifespan of females and causes an attenuated lifespan response to DR [2578].",41709,"Forkhead box, sub-group O","an insulin peptide itself may function as one secondary messenger of insulin-regulated aging. Also regulates Lip4, homolog of human acid lipases, thereby acting as a key modulator of lipid metabolism by insulin signaling and integrates insulin responses to glucose and lipid homeostasis. [UniProt]","FBgn0038197","3143 Afx anon-WO0118547.374 cg3143 CG3143 dfoxo dFoxo dFoxO dFOXO Dfoxo Dmel\CG3143 DmQ95V5 fd88A FKHR foxO Foxo FoxO FOXO foxo|dFOXO Q95V55"
105,"Thor","FBgn0261560","Drosophila melanogaster","19804760,16055649","Null mutation in Thor (alias d4E-BP) causes a significant decrease in longevity (-25% median lifespan in males) [2579]. Thor is upregulated on the protein level in a |foxo|-independent manner upon DR, while it is transcriptionally induced in a |foxo|-dependent fashion by starvation. Thor null mutants cancel out DR-induced lifespan extension, because mutants exhibit a diminished change in lifespan when nutrient conditions were varied. Ubiquitously expression of Thor rescued DR response in females and males. Ubiquitously overexpression of wild-type Thor causes no change under ad libitum, but an activated allele (with more than 3-fold increased binding activity to delF4E) significantly extends lifespan of females (weak allele) and females as well as males (strong allele). Mean lifespan is extended by 11 to 40%. Median lifespan of males and females is enhanced by 11 and 22%, respectively. Maximum lifespan is extended by 16 and 18% for males and females, respectively. Under DR (0.25% YE) there is no lifespan extension, beyond the effect of DR alone, in all (wild-type, weak and strong) Thor alleles [2547].",33569,"CG8846-PA","","","153432_at 43-BP 4e-bp 4e-BP 4E-BP 4E-BP1 4ebp 4eBP 4EBP anon-WO0172774.158 BcDNA.HL08053 BcDNA:HL08053 CG8846 CT8705 d4e-bp d4E-BP d4E-BP1 d4eBP d4EBP Dm 4E-BP Dmel\CG8846 dthor eIF4E-BP l(2)06270 l(2)k07736 l(2)k13517 Phas1 pp20 thor Thor/EIF4EBP"
193,"Hex-C","","Drosophila melanogaster","26378219
","Under normal conditions downregulation of NAT4 in yeast increased mean replicative lifespan by 21%. When yeast cells lacking NAT4 were subjected to calorie restriction (0.1% glucose versus 2% glucose) no further lifespan extension was displayed, lifespan was comparable to wild type cells under calorie restriction and yeast cells lacking NAT4 under normal conditions. Thus downregulation of NAT4 triggers a dietary restriction like effect.",44008,"Hexokinase C","","","CG8094 CT22069 DM2 Dmel\CG8094 Fk Hex HEX Hex-3 HEX-3 Hex-c HEX-C HexC Hk HK HK-C"
194,"Men","","Drosophila melanogaster","26378219","A mutation that decreased Men activity (52% of the wild type) in flies lowered lifespan. Flies with mutant Men didn't display an increase in lifespan when subjected to dietary restriction, whereas wild type flies demonstrated a significant increase in lifespan, thus indicating that Men activity is required for the lifespan extending effects of dietary restriction. ",47173,"Malic enzyme","","","anon-WO0118547.278 CG10120 Dmel\CG10120 MDH Mdh-NADP Me ME mem men MEN"
106,"p53","CG33336","Drosophila melanogaster","16303568","Overexpression of wild-type Dmp53 (alias p53) during adult life has no significant effect on lifespan. Expression of dominant negative form of Dmp53 specifically in neurons extends lifespan (58% in females and 32% in males) and increases resistance to oxidative stress. Dominant negative Dmp53 expression cancels lifespan extension effect of DR, low calorie-food (5 % SY)  [1567].",2768677,"CG33336 gene product from transcript CG33336-RB",NULL,"FBgn0039044","CG10873 CG31325 CG33336 D-p53 Dm-P53 Dmel\CG33336 dmp53 Dmp53 DmP53 DMP53 dp53 Dp53 prac"
107,"l(3)neo18","FBgn0011455","Drosophila melanogaster","19804760","l(3)neo18 (alias CG9762) is upregulated upon DR. Under rich nutritional conditions lifespan of l(3)neo18 RNAi knockout animals is indistinguishable from wild-type, while upon DR, lifespan extension is diminished in males and females [2547].",46260,"lethal (3) neo18","lethal (3) neo18; lethal (3) neo18 [Source:FlyBase gene name;Acc:FBgn0011455] [Ensembl]; The gene lethal (3) neo18 is referred to in FlyBase by the symbol Dmell(3)neo18 (CG9762, FBgn0011455). It is a protein_coding_gene from Drosophila melanogaster. Based on sequence similarity, it is predicted to have molecular function</span>: NADH dehydrogenase activity; NADH dehydrogenase (ubiquinone) activity. There is experimental evidence that it is involved in the biological process</span>: determination of adult lifespan; response to reactive oxygen species. 4 alleles are reported. No phenotypic data is available. It has one annotated transcript and one annotated polypeptide. Protein features are: NADH:ubiquinone oxidoreductase, NDUFB5/SGDH subunit. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of high expression.  Peak expression observed at stages throughout embryogenesis, during early larval stages, during late pupal stages, in stages of adults of both sexes.   [FlyBase]","FBgn0011455","CG9762 Dmel\CG9762"
108,"CoVb","FBgn0039044","Drosophila melanogaster","19804760","CG11015 (CoVb) is upregulated upon DR. Under rich nutritional conditions lifespan of CG11015 RNAi-treated animals are indistinguishable from controls, while upon DR, lifespan extension is diminished in males and females [2547].",33918,"Cytochrome c oxidase subunit Vb","","","anon-EST:Posey143 anon-WO0118547.187 BcDNA:RH49324 CG11015 Dmel\CG11015 Vb"
191,"sug","","Drosophila melanogaster","27783936","Depletion of sug using RNA interference reduced lifespan in flies and reduced the lifespan extending effects of dietary restriction by 37%. Sug was found to act downstream of Ire1, facilitating the metabolic shift towards lipid usage under dietary restriction. Sug expression rescued the short lifespan of Ire1 depleted flies on DR. ",36424,"sugarbabe","","","CG3850 Dmel\CG3850"
192,"NAT4","","Saccharomyces cerevisiae","27799288","Under normal conditions downregulation of NAT4 in yeast increased mean replicative lifespan by 21%. When yeast cells lacking NAT4 were subjected to calorie restriction (0.1% glucose versus 2% glucose) no further lifespan extension was displayed, lifespan was comparable to wild type cells under calorie restriction and yeast cells lacking NAT4 under normal conditions. Thus downregulation of NAT4 triggers a dietary restriction like effect.",855091,"Nat4p","","","NAA40"
109,"Ilp2","FBgn0036046","Drosophila melanogaster","20195512","Ilp2 is down-regulated in long-lived mutants. Ilp2 null mutants are significantly longer-lived with a 8-13% longer median lifespan, but have a normal DR response. Ilp2 |Ilp3| |Ilp5| triple null mutants fail to have a normal response to DR. Their response is right shifted, with mutants shorter-lived compared to wild-type on low but longer-lived on high yeast concentrations [2580].",39150,"Insulin-like peptide 2","Plays a role in regulating body size by increasing cell size and cell number of individual organs. Probably mediates its growth effects by acting as a ligand for the insulin receptor and transducing a signal via the Chico/PI3K/Akt(PKB) pathway. [UniProt]","FBgn0036046","CG8167 dilp Dilp DILP Dilp 2 dilp-2 dILP-2 Dilp-2 dilp2 dIlp2 dILP2 Dilp2 DILP2 Dmel\CG8167 Ilp Ilp-2 ilp2 ILP2 IRP"
110,"Ilp3","FBgn0044050","Drosophila melanogaster","20195512","Ilp3 null mutants have a normal lifespan under ad lib and a normal DR response. |Ilp2| Ilp3 |Ilp5| triple null mutants fail to have a normal response to DR. Their response is right shifted, with mutants being shorter-lived compared to wild-type on low but longer-lived on high yeast concentrations [2580].",39151,"Insulin-like peptide 3","Insulin-like peptide 3; Insulin-like peptide 3 [Source:FlyBase gene name;Acc:FBgn0044050] [Ensembl]; The gene Insulin-like peptide 3 is referred to in FlyBase by the symbol DmelIlp3 (CG14167, FBgn0044050). It is a protein_coding_gene from Drosophila melanogaster. Based on sequence similarity, it is predicted to have molecular function</span>: insulin receptor binding. There is experimental evidence that it is involved in the biological process</span>: female mating behavior. 8 alleles are reported. No phenotypic data is available. It has one annotated transcript and one annotated polypeptide. Protein features are: Insulin family; Insulin, conserved site; Insulin-like. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed during early pupal stages.   [FlyBase]","FBgn0044050","CG14167 dilp Dilp DILP Dilp 3 dilp-3 dILP-3 Dilp-3 dilp3 dIlp3 dILP3 Dilp3 DILP3 Dmel\CG14167 Ilp Ilp-3 ilp3"
111,"Ilp5","FBgn0044048","Drosophila melanogaster","20195512","Abundance of Ilp5 mRNA is reduced under DR. Ilp5 null mutants have a normal lifespan under ad libitum and a normal DR response. |Ilp2| |Ilp3| Ilp5 triple null mutants fail to have a normal response to DR. Their response is right shifted, with mutants being shorter-lived compared to wild-type on low but longer-lived on high yeast concentrations [2580].",2768992,"Insulin-like peptide 5","Insulin-like peptide 5; Insulin-like peptide 5 [Source:FlyBase gene name;Acc:FBgn0044048] [Ensembl]; The gene Insulin-like peptide 5 is referred to in FlyBase by the symbol DmelIlp5 (CG33273, FBgn0044048). It is a protein_coding_gene from Drosophila melanogaster. Based on sequence similarity, it is predicted to have molecular function</span>: insulin receptor binding. There is experimental evidence that it is involved in the biological process</span>: female mating behavior. 9 alleles are reported. The phenotype of these alleles is annotated with: embryonic/larval neuroblast. It has one annotated transcript and one annotated polypeptide. Protein features are: Insulin family; Insulin, conserved site; Insulin-like. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period, during early pupal stages, in adult male stages.   [FlyBase]","FBgn0044048","CG33273 dilp Dilp DILP Dilp 5 dilp-5 dILP-5 Dilp-5 dilp5 dIlp5 dILP5 Dilp5 DILP5 Dmel\CG33273 Ilp Ilp-5 ilp5 ILP5"
112,"Ghr","ENSMUSG00000055737","Mus musculus","12933651,16682650,19747233","Ghr knockout mice (GHRKO) are dwarfs with significantly extended lifespan by up to 40% [3]. DR (30%) fails to affect overall survival, average or median long-lifespan of GHRKO mice and increased maximal lifespan only in females. Insulin sensitivity in GHRKO mutants is greater than in wild-type and is not further increased by DR [1773]. Intermittent fasting also fails to extend the long lifespan of GHRKO mice [2583]. GHR-knockout mice live longer than wild-type mice when their diet contains 0.43% or 1.3% methionine. Contrastly, there is a minimal difference in lifespan on a diet of 0.16% methionine, wild-type mice being under these conditions long-lived as well [3476]. 
",14600,"Growth hormone receptor","Receptor for pituitary gland growth hormone involved in regulating postnatal body growth. On ligand binding, couples to, and activates the JAK2/STAT5 pathway (By similarity). The soluble form (GHBP) acts as a reservoir of growth hormone in plasma and may be a modulator/inhibitor of GH signaling. [UniProt]","ENSMUSG00000055737","GHBP GHR/BP"
113,"VPS8","YAL002W","Saccharomyces cerevisiae","20657825","Lack of VPS8 reduces lifespan under starvation conditions to a level similar to that of wild-type cells incubated in synthetic complete medium and therefore blocked the lifespan-extending effect of DR [2500].",851261,"Vacuolar Protein Sorting 8","Vps8p; Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif [Source:SGD;Acc:S000000002] [Ensembl]","YAL002W","FUN15 VPL8 VPT8"
114,"VPS21","YOR089C","Saccharomyces cerevisiae","20657825","Lack of VPS21 reduces lifespan under starvation conditions to a level similar to that of wild-type cells incubated in synthetic complete medium and therefore blocked the lifespan-extending effect of DR [2500].",854256,"Vacuolar Protein Sorting 21","Vps21p; Rab family GTPase required for endocytic transport and for sorting of vacuolar hydrolases; localized in endocytic intermediates; detected in mitochondria; geranylgeranylation required for membrane association; mammalian Rab5 homolog [Source:SGD;Acc:S000005615] [Ensembl]","YOR089C","VPS12 VPT12 YPT21 YPT51"
115,"HES1","YOR237W","Saccharomyces cerevisiae","9858546","Deletion of HES1 (alias OSH5) extends replicative lifespan and is non-additive with moderate DR. Elevation of OSH5 levels reduces mean, median and maximum replicative lifespan by 25, 18 and 29% [1539].",854412,"Homologous to kES1 1","Hes1p; Protein implicated in the regulation of ergosterol biosynthesis; one of a seven member gene family with a common essential function and non-essential unique functions; similar to human oxysterol binding protein (OSBP) [Source:SGD;Acc:S000005763] [Ensembl]","YOR237W","OSH5"
117,"Cbs","FBgn0031148","Drosophila melanogaster","21930912","Ubiquitous or neuron-specific overexpression of Cbs enhances longevity in fully-fed animals. Cbs RNAi partly abrogates increased lifespan by DR, but has no effect on fully fed animals. It appears that Cbs upregulation is required for increased lifespan under low-nutrient conditions. Response of male flies to DR is muted in comparison with females [2589].",33081,"Cystathionine beta-synthase","Catalyze the conversion of homocysteine to cystathionine, the first step in the transsulfuration pathway.; CG1753 gene product from transcript CG1753-RA; The gene Cystathionine Beta-synthase is referred to in FlyBase by the symbol DmelCbs (CG1753, FBgn0031148). It is a protein_coding_gene from Drosophila melanogaster. Based on sequence similarity, it is predicted to have molecular function</span>: cystathionine beta-synthase activity. There is experimental evidence that it is involved in the biological process</span>: determination of adult lifespan. 8 alleles are reported. No phenotypic data is available. It has 2 annotated transcripts and 2 annotated polypeptides. Protein features are: Cystathionine beta-synthase; Cystathionine beta-synthase, core; Cysteine synthase/cystathionine beta-synthase P-phosphate-binding site; Pyridoxal phosphate-dependent enzyme, beta subunit. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed during early larval stages.   [FlyBase]","FBgn0031148","CBS CG1753 dCBS Dmel\CG1753"
118,"ms(3)72Dt","FBgn0036568","Drosophila melanogaster","19747824,19968629","RNAi of complex V subunit CG5389 (ms(3)72Dt) results in increased mean longevity under standard laboratory food conditions (3% yeast) in males [2389]. Under rich media conditions CG5389 knockdown throughout development and adulthood increases mean lifespan by 26% and abolished the lifespan extension by DR  in males [2610].",39761,"male sterile (3) 72Dt","","","CG5389 Dmel\CG5389"
119,"elt-3","K02B9.4","Caenorhabditis elegans","18662544","Expression of elt-3 decreases with development and aging. elt-3 RNAi extends maximum lifespan and cancels out the |daf-2| or DR-induced (|eat-2| mutant) lifespan extension [2432].",181503,"Erythroid-Like Transcription factor 3","Protein ELT-3; Erythroid-Like Transcription factor family member (elt-3)  [Source:RefSeq peptide;Acc:NP_510321] [Ensembl];  The elt-3 gene encodes a GATA transcription factor expressed in the embryonic hypodermis; specifically, it is expressed in expressed in all of the major hypodermal cells except the lateral seam cells.   Deletion of elt-3 does not significantly impair either hypodermal cell differentiation or general viability. ELT-3 can activate hypodermal gene expression in the absence of its paralog ELT-1. Ectopic expression of elt-3, induced by heat shock of a transgene, is sufficient to activate hypodermal differentiation even in blastomeres that are not hypodermal precursors in wild-type embryos. ELT-3 is suspected to act redundantly, and downstream of ELT-1, in hypodermal cell differentiation.  [WormBase]","K02B9.4",""
120,"faah-1","B0218.1","Caenorhabditis elegans","21562563","faah-1 overexpression delays development, increases thermal stress resistance, and was associated with mean and maximum adult lifespan extension by 19 and 35%, respectively, in presence of abundant food but not under two different protocols of DR. Overexpression in pharynx was largely sufficient for this lifespan extension [2636].",177613,"Fatty Acid Amide Hydrolase 1","Protein FAAH-1; Protein FAAH-1, isoform a  [Source:UniProtKB/TrEMBL;Acc:Q17449] [Ensembl]","B0218.1",""
122,"trx-1","B0228.5","Caenorhabditis elegans","21334311,16387300","Thioredoxins regulate many cellular redox processes. trx-1 is mainly associated with neurons and is expressed in ASJ ciliated sensory neurons and to some extent also on the posterior-most internal cells. trx-1 null mutant display reduced mean and maximum lifespan [2613]. trx-1 overexpression extends lifespan in wild-type but not in |eat-2| mutants. trx-1 deletion completely suppresses the lifespan extension caused by |eat-2| mutation, but only partially suppresses that by |daf-2| mutations. Ectopic expression of trx-1 in ASJ neurons (but not in the intestine) in trx-1 mutants rescues the lifespan-extension conferred by |eat-2| mutation. trx-1 deletion almost completely suppresses lifespan extension induced by dietary deprivation (DD). DD upregulates trx-1 expression in ASJ neurons. DR activates trx-1 in ASJ neurons which in turn triggers a trx-1-dependent non-cell autonomous mechanism to extend adult lifespan [2612].     ",181863,"ThioRedoXin 1","Participates in various redox reactions through the reversible oxidation of its active center dithiol to a disulfide and catalyzes dithiol-disulfide exchange reactions (By similarity). Plays a regulatory or signaling role in the pathways that control aging. [UniProt]","B0228.5",""
123,"slcf-1","F59F5.1","Caenorhabditis elegans","21040400","slcf-1 mutation increases average lifespan by 40%. DR (by dilution of bacteria on solid medium or by bacterial deprivation) failed to extend slcf-1 mutant's long lifespan and lifespan is even reduced by lowering bacteria concentration (i.e. higher strength of DR) [2439].",186633,"SoLute Carrier Family 1","Protein SLCF-1","F59F5.1",""
