entrez_id,gene_symbol,gene_name,description,chr_loc,chr_start,chr_end,orientation,accession,unigene,omim,ensembl,hprd,species,alias,homologene
5948,RBP2,retinol binding protein 2,"This gene encodes an abundant protein present in the small intestinal epithelium. It is thought to participate in the uptake and/or intracellular metabolism of vitamin A. Vitamin A is a fat-soluble vitamin necessary for growth, reproduction, differentiation of epithelial tissues, and vision. This protein may also modulate the supply of retinoic acid to the nuclei of endometrial cells during the menstrual cycle. [provided by RefSeq, Aug 2015]",3q23,139452883,139476509,-1,,655516,180280,ENSG00000114113,,human,CRBP2 RBPC2 CRBPII CRABP-II,3070
6041,RNASEL,ribonuclease L,"This gene encodes a component of the interferon-regulated 2-5A system that functions in the antiviral and antiproliferative roles of interferons. Mutations in this gene have been associated with predisposition to prostate cancer and this gene is a candidate for the hereditary prostate cancer 1 (HPC1) allele. [provided by RefSeq, Jul 2008]",1q25.3,182573633,182589284,-1,NG_009024,518545,180435,ENSG00000135828,,human,RNS4 PRCA1,8040
6300,MAPK12,mitogen-activated protein kinase 12,"Activation of members of the mitogen-activated protein kinase family is a major mechanism for transduction of extracellular signals. Stress-activated protein kinases are one subclass of MAP kinases. The protein encoded by this gene functions as a signal transducer during differentiation of myoblasts to myotubes. [provided by RefSeq, Jul 2008]",22q13.33,50252901,50261758,-1,,432642,602399,ENSG00000188130,,human,ERK3 ERK6 ERK-6 SAPK3 PRKM12 SAPK-3 MAPK 12 P38GAMMA,55705
6426,SRSF1,serine and arginine rich splicing factor 1,"This gene encodes a member of the arginine/serine-rich splicing factor protein family. The encoded protein can either activate or repress splicing, depending on its phosphorylation state and its interaction partners. Multiple transcript variants have been found for this gene. There is a pseudogene of this gene on chromosome 13. [provided by RefSeq, Jun 2014]",17q22,58000918,58007345,-1,,68714,600812,ENSG00000136450,,human,ASF SF2 SFRS1 SF2p33 SRp30a,31411
6446,SGK1,serum/glucocorticoid regulated kinase 1,"This gene encodes a serine/threonine protein kinase that plays an important role in cellular stress response. This kinase activates certain potassium, sodium, and chloride channels, suggesting an involvement in the regulation of processes such as cell survival, neuronal excitability, and renal sodium excretion. High levels of expression of this gene may contribute to conditions such as hypertension and diabetic nephropathy. Several alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jan 2009]",6q23.2,134169245,134318111,-1,,510078,602958,ENSG00000118515,,human,SGK,48364
6495,SIX1,SIX homeobox 1,"The protein encoded by this gene is a homeobox protein that is similar to the Drosophila 'sine oculis' gene product. This gene is found in a cluster of related genes on chromosome 14 and is thought to be involved in limb development. Defects in this gene are a cause of autosomal dominant deafness type 23 (DFNA23) and branchiootic syndrome type 3 (BOS3). [provided by RefSeq, Jul 2008]",14q23.1,60644697,60649488,-1,NG_008231,633506,601205,ENSG00000126778,,human,BOS3 TIP39 DFNA23,4360
6597,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","The protein encoded by this gene is a member of the SWI/SNF family of proteins and is similar to the brahma protein of Drosophila. Members of this family have helicase and ATPase activities and are thought to regulate transcription of certain genes by altering the chromatin structure around those genes. The encoded protein is part of the large ATP-dependent chromatin remodeling complex SNF/SWI, which is required for transcriptional activation of genes normally repressed by chromatin. In addition, this protein can bind BRCA1, as well as regulate the expression of the tumorigenic protein CD44. Mutations in this gene cause rhabdoid tumor predisposition syndrome type 2. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2012]",19p13.2,10960921,11062281,1,NG_011556,327527,603254,ENSG00000127616,,human,BRG1 CSS4 SNF2 SWI2 MRD16 RTPS2 BAF190 SNF2L4 SNF2LB hSNF2b BAF190A,135927
6598,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","The protein encoded by this gene is part of a complex that relieves repressive chromatin structures, allowing the transcriptional machinery to access its targets more effectively. The encoded nuclear protein may also bind to and enhance the DNA joining activity of HIV-1 integrase. This gene has been found to be a tumor suppressor, and mutations in it have been associated with malignant rhabdoid tumors. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2015]",22q11.23,23786930,23834517,1,NG_009303,534350,601607,ENSG00000099956,,human,RDT CSS3 INI1 SNF5 Snr1 BAF47 MRD15 RTPS1 Sfh1p hSNFS SNF5L1 SWNTS1 PPP1R144,2310
6615,SNAI1,snail family transcriptional repressor 1,"The Drosophila embryonic protein snail is a zinc finger transcriptional repressor which downregulates the expression of ectodermal genes within the mesoderm. The nuclear protein encoded by this gene is structurally similar to the Drosophila snail protein, and is also thought to be critical for mesoderm formation in the developing embryo. At least two variants of a similar processed pseudogene have been found on chromosome 2. [provided by RefSeq, Jul 2008]",20q13.13,49982975,49988885,1,,48029,604238,ENSG00000124216,,human,SNA SNAH SNAIL SLUGH2 SNAIL1 dJ710H13.1,4363
6647,SOD1,superoxide dismutase 1,"The protein encoded by this gene binds copper and zinc ions and is one of two isozymes responsible for destroying free superoxide radicals in the body. The encoded isozyme is a soluble cytoplasmic protein, acting as a homodimer to convert naturally-occuring but harmful superoxide radicals to molecular oxygen and hydrogen peroxide. The other isozyme is a mitochondrial protein. Mutations in this gene have been implicated as causes of familial amyotrophic lateral sclerosis. Rare transcript variants have been reported for this gene. [provided by RefSeq, Jul 2008]",21q22.11,31659621,31668930,1,NG_008689,443914,147450,ENSG00000142168,,human,ALS SOD ALS1 IPOA hSod1 HEL-S-44 homodimer,392
6657,SOX2,SRY-box 2,"This intronless gene encodes a member of the SRY-related HMG-box (SOX) family of transcription factors involved in the regulation of embryonic development and in the determination of cell fate. The product of this gene is required for stem-cell maintenance in the central nervous system, and also regulates gene expression in the stomach. Mutations in this gene have been associated with optic nerve hypoplasia and with syndromic microphthalmia, a severe form of structural eye malformation. This gene lies within an intron of another gene called SOX2 overlapping transcript (SOX2OT). [provided by RefSeq, Jul 2008]",3q26.33,181711923,181714435,1,NG_009080,518438,184429,ENSG00000181449,,human,ANOP3 MCOPS3,68298
6660,SOX5,SRY-box 5,"This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. The encoded protein may play a role in chondrogenesis. A pseudogene of this gene is located on chromosome 8. Multiple transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]",12p12.1,23529498,24562700,-1,NG_029612,434948,604975,ENSG00000134532,,human,L-SOX5 LAMSHF L-SOX5B L-SOX5F,21378
6667,SP1,Sp1 transcription factor,"The protein encoded by this gene is a zinc finger transcription factor that binds to GC-rich motifs of many promoters. The encoded protein is involved in many cellular processes, including cell differentiation, cell growth, apoptosis, immune responses, response to DNA damage, and chromatin remodeling. Post-translational modifications such as phosphorylation, acetylation, glycosylation, and proteolytic processing significantly affect the activity of this protein, which can be an activator or a repressor. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2014]",12q13.13,53380194,53416445,1,NG_030361,620754,189906,ENSG00000185591,,human,,8276
6714,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","This gene is highly similar to the v-src gene of Rous sarcoma virus. This proto-oncogene may play a role in the regulation of embryonic development and cell growth. The protein encoded by this gene is a tyrosine-protein kinase whose activity can be inhibited by phosphorylation by c-SRC kinase. Mutations in this gene could be involved in the malignant progression of colon cancer. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]",20q11.23,37344684,37405431,1,NG_023033,195659,190090,ENSG00000197122,,human,ASV SRC1 THC6 c-SRC p60-Src,21120
6720,SREBF1,sterol regulatory element binding transcription factor 1,"This gene encodes a transcription factor that binds to the sterol regulatory element-1 (SRE1), which is a decamer flanking the low density lipoprotein receptor gene and some genes involved in sterol biosynthesis. The protein is synthesized as a precursor that is attached to the nuclear membrane and endoplasmic reticulum. Following cleavage, the mature protein translocates to the nucleus and activates transcription by binding to the SRE1. Sterols inhibit the cleavage of the precursor, and the mature nuclear form is rapidly catabolized, thereby reducing transcription. The protein is a member of the basic helix-loop-helix-leucine zipper (bHLH-Zip) transcription factor family. This gene is located within the Smith-Magenis syndrome region on chromosome 17. [provided by RefSeq, Mar 2016]",17p11.2,17811348,17837016,-1,NG_029029,592123,184756,ENSG00000072310,,human,SREBP1 bHLHd1 SREBP1a SREBP-1c,3079
6777,STAT5B,signal transducer and activator of transcription 5B,"The protein encoded by this gene is a member of the STAT family of transcription factors. In response to cytokines and growth factors, STAT family members are phosphorylated by the receptor associated kinases, and then form homo- or heterodimers that translocate to the cell nucleus where they act as transcription activators. This protein mediates the signal transduction triggered by various cell ligands, such as IL2, IL4, CSF1, and different growth hormones. It has been shown to be involved in diverse biological processes, such as TCR signaling, apoptosis, adult mammary gland development, and sexual dimorphism of liver gene expression. This gene was found to fuse to retinoic acid receptor-alpha (RARA) gene in a small subset of acute promyelocytic leukemias (APLL). The dysregulation of the signaling pathways mediated by this protein may be the cause of the APLL. [provided by RefSeq, Jul 2008]",17q21.2,42199176,42276459,-1,NG_007271,595276,604260,ENSG00000173757,,human,STAT5,55718
6787,NEK4,NIMA related kinase 4,"The protein encoded by this gene is a serine/threonine protein kinase required for normal entry into replicative senescence. The encoded protein also is involved in cell cycle arrest in response to double-stranded DNA damage. Finally, this protein plays a role in maintaining cilium integrity, and defects in this gene have been associated with ciliopathies. [provided by RefSeq, Jan 2017]",3p21.1,52707935,52770948,-1,NG_053026,631921,601959,ENSG00000114904,,human,NRK2 STK2 pp12301,2376
6790,AURKA,aurora kinase A,"The protein encoded by this gene is a cell cycle-regulated kinase that appears to be involved in microtubule formation and/or stabilization at the spindle pole during chromosome segregation. The encoded protein is found at the centrosome in interphase cells and at the spindle poles in mitosis. This gene may play a role in tumor development and progression. A processed pseudogene of this gene has been found on chromosome 1, and an unprocessed pseudogene has been found on chromosome 10. Multiple transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]",20q13.2,56369388,56392336,-1,NG_012133,250822,603072,ENSG00000087586,,human,AIK ARK1 AURA BTAK STK6 STK7 STK15 PPP1R47,2670
6829,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",,19q13.2,39445545,39476669,1,,631604,602102,ENSG00000196235,,human,SPT5 SPT5H Tat-CT1,2384
6850,SYK,spleen associated tyrosine kinase,"This gene encodes a member of the family of non-receptor type Tyr protein kinases. This protein is widely expressed in hematopoietic cells and is involved in coupling activated immunoreceptors to downstream signaling events that mediate diverse cellular responses, including proliferation, differentiation, and phagocytosis. It is thought to be a modulator of epithelial cell growth and a potential tumour suppressor in human breast carcinomas. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2010]",9q22.2,90801679,90898559,1,NG_017046,371720,600085,ENSG00000165025,,human,p72-Syk,2390
6885,MAP3K7,mitogen-activated protein kinase kinase kinase 7,"The protein encoded by this gene is a member of the serine/threonine protein kinase family. This kinase mediates the signaling transduction induced by TGF beta and morphogenetic protein (BMP), and controls a variety of cell functions including transcription regulation and apoptosis. In response to IL-1, this protein forms a kinase complex including TRAF6, MAP3K7P1/TAB1 and MAP3K7P2/TAB2; this complex is required for the activation of nuclear factor kappa B. This kinase can also activate MAPK8/JNK, MAP2K4/MKK4, and thus plays a role in the cell response to environmental stresses. Four alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]",6q15,90513572,90587300,-1,NG_011966,594838,602614,ENSG00000135341,,human,CSCF FMD2 TAK1 MEKK7 TGF1a,135715
6909,TBX2,T-box 2,"This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. This gene product is the human homolog of mouse Tbx2, and shares strong sequence similarity with Drosophila omb protein. Expression studies indicate that this gene may have a potential role in tumorigenesis as an immortalizing agent. Transcript heterogeneity due to alternative polyadenylation has been noted for this gene. [provided by RefSeq, Jul 2008]",17q23.2,61399895,61409465,1,,531085,600747,ENSG00000121068,,human,,38123
7012,TERC,telomerase RNA component,"Telomerase is a ribonucleoprotein polymerase that maintains telomere ends by addition of the telomere repeat TTAGGG. The enzyme consists of a protein component with reverse transcriptase activity, and an RNA component, encoded by this gene, that serves as a template for the telomere repeat. Telomerase expression plays a role in cellular senescence, as it is normally repressed in postnatal somatic cells resulting in progressive shortening of telomeres. Deregulation of telomerase expression in somatic cells may be involved in oncogenesis. Studies in mouse suggest that telomerase also participates in chromosomal repair, since de novo synthesis of telomere repeats may occur at double-stranded breaks. Mutations in this gene cause autosomal dominant dyskeratosis congenita, and may also be associated with some cases of aplastic anemia. [provided by RefSeq, Jul 2008]",3q26.2,169764609,169765059,-1,NG_016363,436182,602322,ENSG00000270141,,human,TR hTR TRC3 DKCA1 PFBMFT2 SCARNA19,
7014,TERF2,telomeric repeat binding factor 2,"This gene encodes a telomere specific protein, TERF2, which is a component of the telomere nucleoprotein complex. This protein is present at telomeres in metaphase of the cell cycle, is a second negative regulator of telomere length and plays a key role in the protective activity of telomeres. While having similar telomere binding activity and domain organization, TERF2 differs from TERF1 in that its N terminus is basic rather than acidic. [provided by RefSeq, Jul 2008]",16q22.1,69355560,69386003,-1,,63335,602027,ENSG00000132604,,human,TRF2 TRBF2,4133
7015,TERT,telomerase reverse transcriptase,"Telomerase is a ribonucleoprotein polymerase that maintains telomere ends by addition of the telomere repeat TTAGGG. The enzyme consists of a protein component with reverse transcriptase activity, encoded by this gene, and an RNA component which serves as a template for the telomere repeat. Telomerase expression plays a role in cellular senescence, as it is normally repressed in postnatal somatic cells resulting in progressive shortening of telomeres. Deregulation of telomerase expression in somatic cells may be involved in oncogenesis. Studies in mouse suggest that telomerase also participates in chromosomal repair, since de novo synthesis of telomere repeats may occur at double-stranded breaks. Alternatively spliced variants encoding different isoforms of telomerase reverse transcriptase have been identified; the full-length sequence of some variants has not been determined. Alternative splicing at this locus is thought to be one mechanism of regulation of telomerase activity. [provided by RefSeq, Jul 2008]",5p15.33,1253166,1295625,-1,NG_009265,492203,187270,ENSG00000164362,,human,TP2 TRT CMM9 EST2 TCS1 hTRT DKCA2 DKCB4 hEST2 PFBMFT1,31141
7023,TFAP4,transcription factor AP-4,"Transcription factors of the basic helix-loop-helix-zipper (bHLH-ZIP) family contain a basic domain, which is used for DNA binding, and HLH and ZIP domains, which are used for oligomerization. Transcription factor AP4 activates both viral and cellular genes by binding to the symmetrical DNA sequence CAGCTG (Mermod et al., 1988 [PubMed 2833704]; Hu et al., 1990 [PubMed 2123466]).[supplied by OMIM, Jul 2009]",16p13.3,4257185,4272999,-1,,513305,600743,ENSG00000090447,,human,AP-4 bHLHc41,2424
7027,TFDP1,transcription factor Dp-1,"This gene encodes a member of a family of transcription factors that heterodimerize with E2F proteins to enhance their DNA-binding activity and promote transcription from E2F target genes. The encoded protein functions as part of this complex to control the transcriptional activity of numerous genes involved in cell cycle progression from G1 to S phase. Alternative splicing results in multiple transcript variants. Pseudogenes of this gene are found on chromosomes 1, 15, and X.[provided by RefSeq, Jan 2009]",13q34,113584687,113641472,1,NG_029909,79353,189902,ENSG00000198176,,human,DP1 DILC Dp-1 DRTF1,38276
7041,TGFB1I1,transforming growth factor beta 1 induced transcript 1,"This gene encodes a coactivator of the androgen receptor, a transcription factor which is activated by androgen and has a key role in male sexual differentiation. The encoded protein is thought to regulate androgen receptor activity and may have a role to play in the treatment of prostate cancer. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]",16p11.2,31472154,31477959,1,,513530,602353,ENSG00000140682,,human,HIC5 ARA55 HIC-5 TSC-5,7572
7098,TLR3,toll like receptor 3,"The protein encoded by this gene is a member of the Toll-like receptor (TLR) family which plays a fundamental role in pathogen recognition and activation of innate immunity. TLRs are highly conserved from Drosophila to humans and share structural and functional similarities. They recognize pathogen-associated molecular patterns (PAMPs) that are expressed on infectious agents, and mediate the production of cytokines necessary for the development of effective immunity. The various TLRs exhibit different patterns of expression. This receptor is most abundantly expressed in placenta and pancreas, and is restricted to the dendritic subpopulation of the leukocytes. It recognizes dsRNA associated with viral infection, and induces the activation of NF-kappaB and the production of type I interferons. It may thus play a role in host defense against viruses. Use of alternative polyadenylation sites to generate different length transcripts has been noted for this gene. [provided by RefSeq, Jul 2008]",4q35.1,186069154,186086723,1,NG_007278,657724,603029,ENSG00000164342,,human,CD283 IIAE2,20696
7101,NR2E1,nuclear receptor subfamily 2 group E member 1,"The protein encoded by this gene is an orphan receptor involved in retinal development. The encoded protein also regulates adult neural stem cell proliferation and may be involved in control of aggressive behavior. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2015]",6q21,108166057,108188808,1,NG_042807,157688,603849,ENSG00000112333,,human,TLL TLX XTLL,37750
7114,TMSB4X,"thymosin beta 4, X-linked","This gene encodes an actin sequestering protein which plays a role in regulation of actin polymerization. The protein is also involved in cell proliferation, migration, and differentiation. This gene escapes X inactivation and has a homolog on chromosome Y. [provided by RefSeq, Jul 2008]",Xp22.2,12975106,12977226,1,,437277,300159,ENSG00000205542,,human,FX TB4X PTMB4 TMSB4,
7150,TOP1,topoisomerase (DNA) I,"This gene encodes a DNA topoisomerase, an enzyme that controls and alters the topologic states of DNA during transcription. This enzyme catalyzes the transient breaking and rejoining of a single strand of DNA which allows the strands to pass through one another, thus altering the topology of DNA. This gene is localized to chromosome 20 and has pseudogenes which reside on chromosomes 1 and 22. [provided by RefSeq, Jul 2008]",20q12,41028821,41124486,1,NG_012262,472737,126420,ENSG00000198900,,human,TOPI,2467
7157,TP53,tumor protein p53,"This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]",17p13.1,7668401,7687549,-1,NG_017013,437460,191170,ENSG00000141510,,human,P53 BCC7 LFS1 TRP53,460
7175,TPR,"translocated promoter region, nuclear basket protein","This gene encodes a large coiled-coil protein that forms intranuclear filaments attached to the inner surface of nuclear pore complexes (NPCs). The protein directly interacts with several components of the NPC. It is required for the nuclear export of mRNAs and some proteins. Oncogenic fusions of the 5' end of this gene with several different kinase genes occur in some neoplasias. [provided by RefSeq, Jul 2008]",1q31.1,186311651,186375324,-1,NG_023284,279640,189940,ENSG00000047410,,human,,37753
7295,TXN,thioredoxin,"The protein encoded by this gene acts as a homodimer and is involved in many redox reactions. The encoded protein is active in the reversible S-nitrosylation of cysteines in certain proteins, which is part of the response to intracellular nitric oxide. This protein is found in the cytoplasm. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011]",9q31.3,110243811,110256639,-1,,435136,187700,ENSG00000136810,,human,TRX TRDX TRX1,128202
7297,TYK2,tyrosine kinase 2,"This gene encodes a member of the tyrosine kinase and, more specifically, the Janus kinases (JAKs) protein families. This protein associates with the cytoplasmic domain of type I and type II cytokine receptors and promulgate cytokine signals by phosphorylating receptor subunits. It is also component of both the type I and type III interferon signaling pathways. As such, it may play a role in anti-viral immunity. A mutation in this gene has been associated with hyperimmunoglobulin E syndrome (HIES) - a primary immunodeficiency characterized by elevated serum immunoglobulin E. [provided by RefSeq, Jul 2008]",19p13.2,10350527,10380571,-1,NG_007872,75516,176941,ENSG00000105397,,human,JTK1 IMD35,20712
7398,USP1,ubiquitin specific peptidase 1,"This gene encodes a member of the ubiquitin-specific processing (UBP) family of proteases that is a deubiquitinating enzyme (DUB) with His and Cys domains. This protein is located in the cytoplasm and cleaves the ubiquitin moiety from ubiquitin-fused precursors and ubiquitinylated proteins. The protein specifically deubiquitinates a protein in the Fanconi anemia (FA) DNA repair pathway. Alternate transcriptional splice variants have been characterized. [provided by RefSeq, Jul 2008]",1p31.3,62436303,62451803,1,,35086,603478,ENSG00000162607,,human,UBP,2528
7422,VEGFA,vascular endothelial growth factor A,"This gene is a member of the PDGF/VEGF growth factor family. It encodes a heparin-binding protein, which exists as a disulfide-linked homodimer. This growth factor induces proliferation and migration of vascular endothelial cells, and is essential for both physiological and pathological angiogenesis. Disruption of this gene in mice resulted in abnormal embryonic blood vessel formation. This gene is upregulated in many known tumors and its expression is correlated with tumor stage and progression. Elevated levels of this protein are found in patients with POEMS syndrome, also known as Crow-Fukase syndrome. Allelic variants of this gene have been associated with microvascular complications of diabetes 1 (MVCD1) and atherosclerosis. Alternatively spliced transcript variants encoding different isoforms have been described. There is also evidence for alternative translation initiation from upstream non-AUG (CUG) codons resulting in additional isoforms. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is antiangiogenic. Expression of some isoforms derived from the AUG start codon is regulated by a small upstream open reading frame, which is located within an internal ribosome entry site. [provided by RefSeq, Nov 2015]",6p21.1,43770208,43786486,1,NG_008732,73793,192240,ENSG00000112715,,human,VPF VEGF MVCD1,2534
7472,WNT2,Wnt family member 2,"This gene is a member of the WNT gene family. The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. Alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Jul 2008]",7q31.2,117276630,117323288,-1,,567356,147870,ENSG00000105989,,human,IRP INT1L1,20719
7486,WRN,Werner syndrome RecQ like helicase,"This gene encodes a member of the RecQ subfamily and the DEAH (Asp-Glu-Ala-His) subfamily of DNA and RNA helicases. DNA helicases are involved in many aspects of DNA metabolism, including transcription, replication, recombination, and repair. This protein contains a nuclear localization signal in the C-terminus and shows a predominant nucleolar localization. It possesses an intrinsic 3' to 5' DNA helicase activity, and is also a 3' to 5' exonuclease. Based on interactions between this protein and Ku70/80 heterodimer in DNA end processing, this protein may be involved in the repair of double strand DNA breaks. Defects in this gene are the cause of Werner syndrome, an autosomal recessive disorder characterized by premature aging. [provided by RefSeq, Jul 2008]",8p12,31033261,31173760,1,NG_008870,632050,604611,ENSG00000165392,,human,RECQ3 RECQL2 RECQL3,6659
7490,WT1,Wilms tumor 1,"This gene encodes a transcription factor that contains four zinc-finger motifs at the C-terminus and a proline/glutamine-rich DNA-binding domain at the N-terminus. It has an essential role in the normal development of the urogenital system, and it is mutated in a small subset of patients with Wilms tumor. This gene exhibits complex tissue-specific and polymorphic imprinting pattern, with biallelic, and monoallelic expression from the maternal and paternal alleles in different tissues. Multiple transcript variants have been described. In several variants, there is evidence for the use of a non-AUG (CUG) translation initiation codon upstream of, and in-frame with the first AUG. Authors of PMID:7926762 also provide evidence that WT1 mRNA undergoes RNA editing in human and rat, and that this process is tissue-restricted and developmentally regulated. [provided by RefSeq, Mar 2015]",11p13,32387774,32435534,-1,NG_009272,591980,607102,ENSG00000184937,,human,GUD AWT1 WAGR WT33 NPHS4 WIT-2 EWS-WT1,11536
7538,ZFP36,ZFP36 ring finger protein,,19q13.2,39406846,39409411,1,,534052,190700,ENSG00000128016,,human,TTP G0S24 GOS24 TIS11 NUP475 zfp-36 RNF162A,2558
7703,PCGF2,polycomb group ring finger 2,"The protein encoded by this gene contains a RING finger motif and is similar to the polycomb group (PcG) gene products. PcG gene products form complexes via protein-protein interaction and maintain the transcription repression of genes involved in embryogenesis, cell cycles, and tumorigenesis. This protein was shown to act as a negative regulator of transcription and has tumor suppressor activity. The expression of this gene was detected in various tumor cells, but is limited in neural organs in normal tissues. Knockout studies in mice suggested that this protein may negatively regulate the expression of different cytokines, chemokines, and chemokine receptors, and thus plays an important role in lymphocyte differentiation and migration, as well as in immune responses. [provided by RefSeq, Jul 2008]",17q12,38733896,38749816,-1,,371617,600346,ENSG00000277258,,human,MEL-18 RNF110 ZNF144,5174
7707,ZNF148,zinc finger protein 148,"The protein encoded by this gene is a member of the Kruppel family of zinc finger DNA binding proteins. The encoded protein activates transcription of the T-cell receptor and intestinal alkaline phosphatase genes but represses transcription of the ornithine decarboxylase, vimentin, gastrin, stomelysin, and enolase genes. Increased expression of this gene results in decreased patient survival rates from colorectal cancer, while mutations in this gene have been associated with global developmental delay, hypoplastic corpus callosum, and dysmorphic facies. [provided by RefSeq, Feb 2017]",3q21.2,125225668,125375353,-1,NG_052987,592591,601897,ENSG00000163848,,human,BERF-1 BFCOL1 GDACCF ZBP-89 ZFP148 pHZ-52 HT-BETA,8003
7913,DEK,DEK proto-oncogene,"This gene encodes a protein with one SAP domain. This protein binds to cruciform and superhelical DNA and induces positive supercoils into closed circular DNA, and is also involved in splice site selection during mRNA processing. Chromosomal aberrations involving this region, increased expression of this gene, and the presence of antibodies against this protein are all associated with various diseases. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2008]",6p22.3,18224168,18264567,-1,NG_042290,484813,125264,ENSG00000124795,,human,D6S231E,2593
8087,FXR1,FMR1 autosomal homolog 1,"The protein encoded by this gene is an RNA binding protein that interacts with the functionally-similar proteins FMR1 and FXR2. These proteins shuttle between the nucleus and cytoplasm and associate with polyribosomes, predominantly with the 60S ribosomal subunit. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",3q26.33,180912445,180982752,1,,478407,600819,ENSG00000114416,,human,FXR1P,3573
8099,CDK2AP1,cyclin dependent kinase 2 associated protein 1,"The protein encoded by this gene is a cyclin-dependent kinase 2 (CDK2) -associated protein which is thought to negatively regulate CDK2 activity by sequestering monomeric CDK2, and targeting CDK2 for proteolysis. This protein was found to also interact with DNA polymerase alpha/primase and mediate the phosphorylation of the large p180 subunit, which suggests a regulatory role in DNA replication during the S-phase of the cell cycle. This protein also forms a core subunit of the nucleosome remodeling and histone deacetylation (NURD) complex that epigenetically regulates embryonic stem cell differentiation. This gene thus plays a role in both cell-cycle and epigenetic regulation. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2012]",12q24.31,123260969,123272315,-1,,433201,602198,ENSG00000111328,,human,DOC1 ST19 DORC1 doc-1 p12DOC-1,3411
8405,SPOP,speckle type BTB/POZ protein,"This gene encodes a protein that may modulate the transcriptional repression activities of death-associated protein 6 (DAXX), which interacts with histone deacetylase, core histones, and other histone-associated proteins. In mouse, the encoded protein binds to the putative leucine zipper domain of macroH2A1.2, a variant H2A histone that is enriched on inactivated X chromosomes. The BTB/POZ domain of this protein has been shown in other proteins to mediate transcriptional repression and to interact with components of histone deacetylase co-repressor complexes. Alternative splicing of this gene results in multiple transcript variants encoding the same protein. [provided by RefSeq, Jul 2008]",17q21.33,49598883,49678162,-1,NG_041815,463382,602650,ENSG00000121067,,human,TEF2 BTBD32,68354
8470,SORBS2,sorbin and SH3 domain containing 2,"Arg and c-Abl represent the mammalian members of the Abelson family of non-receptor protein-tyrosine kinases. They interact with the Arg/Abl binding proteins via the SH3 domains present in the carboxy end of the latter group of proteins. This gene encodes the sorbin and SH3 domain containing 2 protein. It has three C-terminal SH3 domains and an N-terminal sorbin homology (SoHo) domain that interacts with lipid raft proteins. The subcellular localization of this protein in epithelial and cardiac muscle cells suggests that it functions as an adapter protein to assemble signaling complexes in stress fibers, and that it is a potential link between Abl family kinases and the actin cytoskeleton. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]",4q35.1,185585443,185956715,-1,NG_029709,481342,616349,ENSG00000154556,,human,ARGBP2 PRO0618,83295
